deficit,
            24749043
    country storages
     2,              -27233
     3,                   0
     4,             -412822
     9,                   0
     1,                   0
    10,                   0
    11,                   0
    52,                   0
    16,             -711634
    14,               -9824
   255,             -204093
    23,              -11644
    53,                   0
    19,                   0
    80,                   0
    21,             -500961
    27,                   0
   233,                   0
   115,                   0
    32,              -44711
    33,             9048687
    35,                   0
    39,               -1815
    40,             -402463
   351,             -786662
    44,             -711126
    46,               -4436
    48,             -169778
    98,                   0
    49,             -173768
    50,                   0
   167,                   0
    54,                   0
    72,              -32534
    56,             -338342
    58,             -293081
    59,            -1068908
    60,             -138352
    63,                   0
   238,             -266850
    66,                   0
    67,                   0
    68,                   0
    74,                   0
    73,                   0
    79,                   0
    81,             -194676
    84,                   0
    86,              -11381
    89,             -280697
    90,               -4436
    91,              -27040
    95,             -101359
    97,                   0
    99,                   0
   100,                   0
   101,             -754490
   102,                   0
   103,             -656106
   104,                   0
   105,             -121444
   106,             -909584
   107,               -9166
   109,             -210725
   110,            -2495138
   112,              -30262
   114,              -15231
   118,                   0
   113,                   0
   119,                   0
   121,              -30315
   123,               -8062
   126,                   0
   256,                   0
   154,                   0
   130,              -12717
   131,             -154085
   133,               -1478
   134,                   0
   136,               -7932
   137,                   0
   138,            -1949690
   146,                   0
   141,                 -15
   143,             -573092
   144,              -94501
    28,               -1450
   147,               -9076
   150,              -23295
   153,                   0
   156,                -837
   157,              -68360
   159,            -2123144
   116,               -4078
   162,                 -96
   221,              -48644
   165,               -5850
   166,              -77224
   169,                   0
   170,             -918542
   171,            -1220155
   173,                   0
   174,              -54413
   183,                   0
   185,                   0
   184,                   0
   191,              -18309
   194,             -409067
   195,              -18565
   272,                   0
   197,               -5440
   199,                   0
   198,                   0
    25,                   0
   202,             -343379
   117,            -1392988
   203,             -159021
    38,             -608932
   206,             -221504
   207,               -1264
   210,                   0
   211,              -13801
   215,              -39567
   216,             -346346
   217,              -13175
   220,              -81134
   222,             -111951
   223,             -113312
   226,              -12842
   230,                   0
   225,             -148229
   229,                   0
   231,            15700356
   234,                   0
   235,                   0
   236,             -893719
   237,              -36287
   249,             -240388
   251,                   0
   181,                   0
