solution   1,  584,                    9.851,                    4.739,
solution   2,  590,                    3.236,                    8.901,
solution   3,  594,                    0.746,                   11.365,
solution   4,  592,                    1.945,                   10.178,
solution   5,  588,                    2.296,                    9.827,
solution   6,  591,                    1.692,                   10.420,
solution   7,  594,                    0.479,                   11.624,
solution   8,  591,                    1.968,                   10.157,
solution   9,  589,                    0.747,                   11.362,
solution  10,  594,                    1.175,                   10.922,
solution  11,  592,                    1.752,                   10.350,
solution  12,  591,                    2.146,                    9.968,
solution  13,  579,                    9.730,                    4.872,
solution  14,  591,                    1.236,                   10.863,
solution  15,  595,                    0.517,                   11.581,
solution  16,  590,                    1.572,                   10.532,
solution  17,  589,                    3.359,                    8.751,
solution  18,  585,                    3.479,                    8.660,
solution  19,  591,                    0.865,                   11.241,
solution  20,  591,                    2.185,                    9.917,
solution  21,  594,                    0.693,                   11.405,
solution  22,  592,                    0.586,                   11.518,
solution  23,  594,                    1.362,                   10.747,
solution  24,  592,                    1.642,                   10.475,
solution  25,  593,                    1.819,                   10.301,
solution  26,  595,                    1.115,                   10.981,
solution  27,  592,                    2.135,                    9.980,
solution  28,  596,                    0.142,                   11.951,
solution  29,  593,                    1.307,                   10.793,
solution  30,  595,                    1.862,                   10.261,
solution  31,  595,                    1.487,                   10.624,
solution  32,  594,                    0.822,                   11.267,
solution  33,  593,                    0.109,                   11.982,
solution  34,  593,                    1.011,                   11.089,
solution  35,  595,                    0.426,                   11.667,
solution  36,  594,                    2.321,                    9.792,
solution  37,  595,                    0.355,                   11.745,
solution  38,  592,                    1.481,                   10.624,
solution  39,  593,                    1.390,                   10.708,
solution  40,  595,                    0.157,                   11.939,
solution  41,  589,                    0.590,                   11.513,
solution  42,  598,                    0.175,                   11.913,
solution  43,  587,                    2.318,                    9.811,
solution  44,  594,                    2.825,                    9.303,
solution  45,  586,                   16.127,                    1.955,
solution  46,  590,                    1.703,                   10.407,
solution  47,  595,                    0.886,                   11.209,
solution  48,  595,                    0.271,                   11.823,
solution  49,  593,                    0.556,                   11.538,
solution  50,  595,                    0.147,                   11.939,
solution  51,  589,                    2.164,                    9.951,
solution  52,  597,                    0.961,                   11.137,
solution  53,  594,                    2.343,                    9.761,
solution  54,  592,                    1.251,                   10.843,
solution  55,  590,                    0.341,                   11.758,
solution  56,  593,                    2.101,                   10.003,
solution  57,  593,                    1.488,                   10.608,
solution  58,  595,                    0.343,                   11.753,
solution  59,  593,                    0.481,                   11.618,
solution  60,  590,                    0.911,                   11.190,
solution  61,  592,                    1.155,                   10.948,
solution  62,  594,                    0.638,                   11.461,
solution  63,  595,                    0.475,                   11.629,
solution  64,  590,                    0.922,                   11.185,
solution  65,  591,                    2.929,                    9.198,
solution  66,  591,                    0.328,                   11.770,
solution  67,  593,                    1.558,                   10.545,
solution  68,  593,                    2.339,                    9.773,
solution  69,  595,                    0.872,                   11.223,
solution  70,  592,                    1.550,                   10.558,
solution  71,  591,                    2.147,                    9.964,
solution  72,  593,                    1.286,                   10.803,
solution  73,  590,                    1.248,                   10.851,
solution  74,  588,                    2.360,                    9.752,
solution  75,  588,                    2.588,                    9.541,
solution  76,  591,                    1.207,                   10.902,
solution  77,  596,                    0.263,                   11.833,
solution  78,  592,                    1.194,                   10.916,
solution  79,  589,                    0.370,                   11.731,
solution  80,  594,                    1.574,                   10.521,
solution  81,  591,                    0.342,                   11.755,
solution  82,  591,                    0.935,                   11.163,
solution  83,  588,                    2.523,                    9.604,
solution  84,  592,                    1.901,                   10.202,
solution  85,  593,                    0.651,                   11.453,
solution  86,  592,                    1.321,                   10.783,
solution  87,  592,                    0.326,                   11.773,
solution  88,  596,                    0.202,                   11.891,
solution  89,  590,                    0.478,                   11.628,
solution  90,  593,                    1.986,                   10.132,
solution  91,  592,                    1.452,                   10.647,
solution  92,  592,                    0.614,                   11.490,
solution  93,  590,                    0.803,                   11.299,
solution  94,  594,                    0.106,                   11.994,
solution  95,  588,                    1.332,                   10.772,
solution  96,  591,                    1.370,                   10.729,
solution  97,  587,                    1.383,                   10.724,
solution  98,  592,                    1.510,                   10.600,
solution  99,  590,                    2.373,                    9.739,
solution 100,  594,                    0.551,                   11.544,
solution 101,  590,                    0.291,                   11.801,
solution 102,  593,                    0.768,                   11.332,
solution 103,  592,                    0.171,                   11.925,
solution 104,  590,                    0.754,                   11.339,
solution 105,  593,                    1.910,                   10.189,
solution 106,  590,                    1.651,                   10.455,
solution 107,  589,                    2.608,                    9.505,
solution 108,  589,                    2.167,                    9.942,
solution 109,  594,                    0.967,                   11.131,
solution 110,  595,                    0.924,                   11.184,
solution 111,  594,                    1.399,                   10.698,
solution 112,  593,                    0.675,                   11.424,
solution 113,  589,                    0.819,                   11.284,
solution 114,  595,                    1.524,                   10.578,
solution 115,  592,                    0.944,                   11.160,
solution 116,  592,                    2.235,                    9.868,
solution 117,  594,                    0.320,                   11.778,
solution 118,  593,                    1.659,                   10.434,
solution 119,  592,                    1.828,                   10.264,
solution 120,  593,                    1.809,                   10.305,
solution 121,  587,                    1.281,                   10.826,
solution 122,  591,                    1.231,                   10.873,
solution 123,  594,                    0.790,                   11.300,
solution 124,  593,                    1.422,                   10.680,
solution 125,  591,                    2.052,                   10.056,
solution 126,  591,                    0.415,                   11.681,
solution 127,  593,                    1.699,                   10.411,
solution 128,  590,                    1.019,                   11.088,
solution 129,  592,                    0.640,                   11.454,
solution 130,  589,                    1.199,                   10.912,
solution 131,  597,                    0.266,                   11.828,
solution 132,  597,                    1.836,                   10.262,
solution 133,  591,                    2.006,                   10.102,
solution 134,  595,                    1.614,                   10.481,
solution 135,  598,                    1.916,                   10.180,
solution 136,  591,                    0.593,                   11.511,
solution 137,  597,                    0.321,                   11.776,
solution 138,  600,                    0.489,                   11.608,
solution 139,  591,                    0.848,                   11.253,
solution 140,  593,                    0.438,                   11.653,
solution 141,  592,                    0.356,                   11.742,
solution 142,  596,                    0.107,                   11.985,
solution 143,  596,                    0.411,                   11.681,
solution 144,  593,                    0.458,                   11.632,
solution 145,  593,                    1.069,                   11.026,
solution 146,  593,                    1.673,                   10.426,
solution 147,  593,                    0.133,                   11.970,
solution 148,  593,                    0.207,                   11.881,
solution 149,  591,                    1.202,                   10.904,
solution 150,  594,                    0.241,                   11.846,
solution 151,  593,                    0.671,                   11.428,
solution 152,  592,                    1.089,                   11.008,
solution 153,  592,                    0.897,                   11.199,
solution 154,  589,                    0.879,                   11.221,
solution 155,  596,                    0.652,                   11.444,
solution 156,  593,                    0.721,                   11.380,
solution 157,  593,                    2.269,                    9.834,
solution 158,  596,                    1.525,                   10.560,
solution 159,  596,                    1.166,                   10.927,
solution 160,  591,                    0.442,                   11.652,
solution 161,  595,                    0.825,                   11.267,
solution 162,  590,                    0.330,                   11.764,
solution 163,  593,                    1.222,                   10.875,
solution 164,  593,                    0.970,                   11.130,
solution 165,  592,                    0.763,                   11.338,
solution 166,  592,                    1.110,                   10.984,
solution 167,  596,                    0.424,                   11.674,
solution 168,  591,                    1.151,                   10.952,
solution 169,  596,                    1.050,                   11.053,
solution 170,  591,                    0.501,                   11.593,
solution 171,  591,                    0.504,                   11.588,
solution 172,  590,                    2.701,                    9.430,
solution 173,  595,                    1.002,                   11.089,
solution 174,  593,                    0.699,                   11.399,
solution 175,  587,                    1.798,                   10.310,
solution 176,  594,                    1.130,                   10.963,
solution 177,  592,                    0.376,                   11.717,
solution 178,  596,                    1.267,                   10.834,
solution 179,  593,                    0.622,                   11.487,
solution 180,  593,                    0.594,                   11.499,
solution 181,  592,                    1.360,                   10.748,
solution 182,  592,                    0.871,                   11.231,
solution 183,  591,                    1.725,                   10.390,
solution 184,  593,                    2.389,                    9.709,
solution 185,  590,                    0.660,                   11.433,
solution 186,  590,                    1.294,                   10.802,
solution 187,  592,                    0.852,                   11.242,
solution 188,  594,                    0.388,                   11.702,
solution 189,  593,                    2.091,                   10.011,
solution 190,  593,                    0.052,                   12.038,
solution 191,  591,                    0.382,                   11.711,
solution 192,  593,                    1.054,                   11.038,
solution 193,  593,                    0.235,                   11.856,
solution 194,  590,                    0.950,                   11.147,
solution 195,  593,                    0.348,                   11.747,
solution 196,  595,                    0.305,                   11.782,
solution 197,  593,                    0.367,                   11.733,
solution 198,  592,                    0.673,                   11.424,
solution 199,  591,                    1.882,                   10.221,
solution 200,  593,                    0.452,                   11.641,
solution 201,  590,                    0.962,                   11.136,
solution 202,  595,                    0.261,                   11.836,
solution 203,  591,                    1.021,                   11.075,
solution 204,  595,                    0.947,                   11.156,
solution 205,  589,                    0.894,                   11.208,
solution 206,  595,                    0.185,                   11.901,
solution 207,  595,                    0.447,                   11.643,
solution 208,  595,                    0.213,                   11.871,
solution 209,  592,                    0.706,                   11.383,
solution 210,  591,                    2.552,                    9.546,
solution 211,  588,                    0.774,                   11.322,
solution 212,  593,                    0.727,                   11.366,
solution 213,  590,                    0.564,                   11.536,
solution 214,  592,                    3.509,                    8.627,
solution 215,  594,                    0.934,                   11.165,
solution 216,  591,                    1.729,                   10.374,
solution 217,  592,                    0.680,                   11.408,
solution 218,  596,                    0.371,                   11.728,
solution 219,  590,                    1.682,                   10.424,
solution 220,  590,                    0.396,                   11.696,
solution 221,  588,                    1.585,                   10.518,
solution 222,  596,                    1.761,                   10.343,
solution 223,  588,                    0.785,                   11.313,
solution 224,  590,                    0.973,                   11.130,
solution 225,  595,                    0.216,                   11.870,
solution 226,  590,                    1.440,                   10.661,
solution 227,  585,                    9.891,                    4.713,
solution 228,  591,                    0.195,                   11.894,
solution 229,  590,                    1.863,                   10.246,
solution 230,  593,                    0.906,                   11.194,
solution 231,  594,                    0.319,                   11.778,
solution 232,  593,                    1.031,                   11.069,
solution 233,  594,                    0.703,                   11.396,
solution 234,  594,                    0.136,                   11.956,
solution 235,  593,                    0.522,                   11.564,
solution 236,  594,                    0.204,                   11.883,
solution 237,  593,                    0.283,                   11.808,
solution 238,  591,                    2.756,                    9.374,
solution 239,  592,                    0.837,                   11.256,
solution 240,  593,                    0.174,                   11.918,
