deficit,
             9341132
    country storages
     2,                  -1
     3,                  -2
     4,                  -2
     9,               29101
     1,                   0
    10,                 496
    11,               13047
    52,              -33631
    16,                   0
    14,              -13288
   255,                   0
    23,                   0
    53,               -1716
    19,               -5736
    80,              -55632
    21,              -86007
    27,              233136
   233,              -50925
   115,              -22610
    32,                   0
    33,               16898
    35,              -19353
    39,               -1794
    40,             -280760
   351,             -474439
    44,                   0
    46,              -15889
    48,             -115367
    98,                6445
    49,             -161338
    50,                   0
   167,                   0
    54,              199320
    72,                   0
    56,                   0
    58,                   0
    59,             -175680
    60,              -46763
    63,               18281
   238,                   0
    66,              -32191
    67,                   0
    68,             1730158
    74,              -89585
    73,                   0
    79,                2802
    81,                   0
    84,                   0
    86,              -15392
    89,             -510425
    90,              -14500
    91,              -28323
    95,                   0
    97,              171974
    99,                   0
   100,                  -1
   101,             -657381
   102,                   0
   103,             -370905
   104,              -33513
   105,             -299179
   106,              -68747
   107,                   0
   109,                   0
   110,                  -1
   112,             -159159
   114,             -116378
   118,              -57682
   113,               -1200
   119,               14453
   121,                   0
   123,                   0
   126,              122126
   256,              -13468
   154,                  -1
   130,               -9157
   131,             -225330
   133,              -21141
   134,               -6186
   136,                   0
   137,             -113877
   138,            -1165441
   146,                   0
   141,                   0
   143,                  -1
   144,                   0
    28,              -82996
   147,                  -1
   150,             -101901
   153,                  -1
   156,             -224904
   157,              -23084
   159,             -313584
   116,               -3692
   162,                  -1
   221,             -181217
   165,               -1056
   166,                   0
   169,              162872
   170,             -686371
   171,             -264931
   173,              274249
   174,                   0
   183,                8626
   185,             8149495
   184,                   0
   191,                   0
   194,                   0
   195,             -421851
   272,               82664
   197,                  -2
   199,                   0
   198,                  -1
    25,              -14344
   202,             -421982
   117,                   0
   203,             -544505
    38,             -264263
   206,                   0
   207,                   0
   210,              104486
   211,                  -1
   215,                  -1
   216,                  -1
   217,              -41120
   220,             -109643
   222,             -351294
   223,             -188270
   226,             -102766
   230,              741220
   225,             -239442
   229,             2871584
   231,             4527102
   234,                   0
   235,                   0
   236,             -308694
   237,                   0
   249,                  -1
   251,                 598
   181,               -8208
